,company_count,Sum_ebitdaUSD,Sum_marketCapUSD,Sum_totalRevenueUSD,Sum_fullTimeEmployees,Median_grossMargins,Median_operatingMargins,Median_ebitdaMargins,Median_profitMargins,Median_earningsGrowth,Median_revenueGrowth,Median_forwardEps,Median_trailingEps,Median_forwardPE,Median_trailingPE,Median_pegRatio,Median_trailingPegRatio,Median_enterpriseToEbitda,Median_enterpriseToRevenue,Median_returnOnEquity,Median_returnOnAssets,Median_heldPercentInstitutions,Median_heldPercentInsiders,Median_debtToEquity,Median_quickRatio,Median_currentRatio,Median_dividendYield,Median_dividendRate,Median_trailingAnnualDividendRate,Median_fiveYearAvgDividendYield,Median_trailingAnnualDividendYield,Median_earningsQuarterlyGrowth,Median_priceToBook,Median_priceToSalesTrailing12Months
Median_revenueGrowth,-0.07191529996154282,-0.028404791731514042,-0.05962762090578006,-0.041064005041264895,-0.11595200462071793,-0.19147002903127328,-0.09687124907553415,-0.061295174013429606,-0.145938247539791,0.1850673582329537,1.0,-0.0024386452276240135,-0.022242343360566137,-0.10058247523987748,0.14539751697868622,-0.1259114275830177,-0.07411578351394763,-0.12212539809245326,0.0459088997421308,-0.001972551565402078,0.10503299733754366,-0.10925100374844032,0.15681900994061745,-0.058124236954304104,-0.01733539295606524,-0.06007737539005884,0.007116752508541438,-0.08566498702361681,-0.08478044918671172,0.08186704802062547,-0.09045017128475832,0.27112717678385506,0.026356810426523783,0.08855429014756332
Median_forwardEps,-0.18529051083507636,-0.019605649589314537,-0.02628935865922519,-0.019981370571340647,0.0225094378585538,-0.21544230943205514,0.15143725515756143,-0.03172940534541598,0.12562081010336779,-0.05475902864308357,-0.0024386452276240135,1.0,0.6687276261911353,-0.1166323291644817,-0.3060598831823481,0.018620428237909884,-0.11160128540444544,0.047040549328611965,-0.24692054888193915,0.41409106068744184,0.4795880024058159,-0.13070315343669908,0.41601993071536697,-0.03752209574039111,-0.23538464902943235,-0.023157742114279165,0.0020847957634833212,0.1415359805109626,0.09387468609658019,-0.0895616666738593,-0.03526264426185698,-0.07049003163376277,-0.09540786653361823,-0.22108558383064508
Median_trailingEps,-0.16255141913004909,0.062378598195359666,0.002872196448617351,0.052264699716666266,0.014690489934393468,-0.09082495532413583,0.18541211686189776,0.059329137678819185,0.21338295749556854,0.0038324617315720756,-0.022242343360566137,0.6687276261911353,1.0,-0.03940416688263269,-0.2705043234482337,0.08805746011050569,0.09302373920630679,0.05917991889459256,-0.17196211659888097,0.46602510270722886,0.49820629857812715,-0.13673775331136762,0.2438786582122973,0.013308565790496819,-0.18935022992555742,-0.007447452352651735,-0.008047058969739547,0.1533469300198052,0.08049708735291822,-0.08136205785448823,0.00543986926698508,-0.018092044533491686,-0.03505566220381694,-0.15464800532792036
Median_forwardPE,-0.11258287910869645,-0.04822274619167023,-0.06588976520680073,-0.04178687677553738,-0.06337500210774026,0.15504424607892103,0.13398205718529577,0.19757469188181756,0.06305600634255373,-0.020157918521744967,-0.10058247523987748,-0.1166323291644817,-0.03940416688263269,1.0,0.021039747901943368,0.2555610964428939,0.3184785144059946,0.3542622258550477,-0.13152064527232024,0.22737326053485912,0.045375855245128445,-0.07651153963008668,0.14894429682884397,-0.015719905787709855,-0.2655286246560606,-0.32478371754372604,-0.012293514250520938,0.047039339544048854,0.03962653184059053,0.0049303485435573564,-0.007322749081057594,-0.022770575717976495,0.6300872985689372,-0.18059059323865115
Median_trailingPE,-0.022397773027114962,-0.10240882679196636,-0.07865441970528605,-0.10259673489412412,-0.09222908969465154,0.051841622835174295,-0.22646017922865855,-0.30036140872367173,-0.20022619505434003,-0.04295170295187155,0.14539751697868622,-0.3060598831823481,-0.2705043234482337,0.021039747901943368,1.0,0.1371125655549434,0.10032400400046328,-0.29389203544965703,0.6201239497925579,-0.3577914620981601,-0.3672289167270717,0.12498363951975698,-0.1737221131915329,-0.13899712283785046,0.322313860643453,0.33455411448907435,-0.31559286066774256,-0.059882730011941235,-0.039668280160077694,-0.19829442878596767,-0.28259223356607455,-0.015271999018455164,0.3565505263188329,0.7338071318060181
Median_pegRatio,0.05162082186118224,-0.020263356951143202,0.06139589048320575,0.007322530283974621,0.08247346313012467,0.10932317298440182,0.07843118357098555,0.06845166864896043,0.2153357451048224,0.08374334323180474,-0.1259114275830177,0.018620428237909884,0.08805746011050569,0.2555610964428939,0.1371125655549434,1.0,-0.013699541762644271,0.033111952107663746,0.09071506334031365,0.13033893073910047,0.04331396512702847,-0.02344110998996258,0.01716675571354903,0.03687610375660965,-0.051769537676364365,-0.036055133299497666,0.04597354106540856,0.034810402064017115,0.023974051997294438,-0.05288473119405116,0.04735932971558713,-0.08234769416374405,0.12440622024572993,0.083015909451004
Median_trailingPegRatio,-0.10237650084037392,0.06337339486413618,-0.06168230937494942,0.09163336456788271,-0.15070292246342715,0.17792376942606616,0.14844123209631802,0.4145222714312094,0.22896700576356532,-0.07153373333683678,-0.07411578351394763,-0.11160128540444544,0.09302373920630679,0.3184785144059946,0.10032400400046328,-0.013699541762644271,1.0,0.2551118249604221,0.2800604970630845,0.02456936903824319,0.08089361608767898,-0.057965777466077235,0.00850555580689836,-0.14436593549013943,-0.15615847757100448,-0.1738516131199967,0.11143145574764612,0.018941731979921987,0.00037659705686180335,0.1120750649056188,0.08423389412858863,-0.040397190001243366,0.0423280783700919,0.316376013553713
Median_enterpriseToEbitda,-0.058706778186815724,-0.11373371308078543,0.05030213354929266,-0.05862214331878584,0.035935338865695325,0.18392680335734635,0.3638283679887598,0.5349264819274466,0.31274177480111803,-0.09603764728848282,-0.12212539809245326,0.047040549328611965,0.05917991889459256,0.3542622258550477,-0.29389203544965703,0.033111952107663746,0.2551118249604221,1.0,-0.2069271167782962,0.06811373992390875,0.08078512634651212,0.17073059709595548,0.04801086622389954,0.22753334620708124,-0.5400324253867221,-0.580043853157361,0.04129755055334518,-0.025454097848119823,-0.015472368399818347,0.1092118402946345,0.0895095850276379,-0.07713655013980716,0.08354317035473417,-0.382777046325288
Median_enterpriseToRevenue,0.029551910865130263,-0.07878641646102183,-0.050416095590767755,-0.06871487232473417,-0.1920605944439822,0.38386965166317544,-0.07171776670673385,0.02313968221758706,0.302385472195825,-0.0017253341295662332,0.0459088997421308,-0.24692054888193915,-0.17196211659888097,-0.13152064527232024,0.6201239497925579,0.09071506334031365,0.2800604970630845,-0.2069271167782962,1.0,-0.23917433317024134,-0.300796828272465,0.07151300780053298,-0.16234897592043415,0.13793812104766476,0.5097942446684691,0.4994506943466597,0.16816085623896335,-0.09439364721475048,-0.07477305697625812,0.2262000716676275,0.18518028817970653,0.012198751009252426,0.026591115200868057,0.8960571633377029
Median_returnOnEquity,-0.40470248925290253,0.03569943718712331,-0.08920869374059093,0.007392628510250829,0.0037256079663332184,-0.07596064643962729,0.4894131238537285,0.25390762140404516,0.4221852523067095,0.456001306155719,-0.001972551565402078,0.41409106068744184,0.46602510270722886,0.22737326053485912,-0.3577914620981601,0.13033893073910047,0.02456936903824319,0.06811373992390875,-0.23917433317024134,1.0,0.8540705326985949,-0.00951074019139672,0.1368583286825201,0.058224148609005245,-0.3645019126707407,-0.1997694599229529,0.11333603240398837,0.028871183144073848,0.006242303862028685,-0.008242197032613032,0.0570070504503518,0.41292122124681346,0.20646431699982715,-0.2703568313473012
