,industry,daily_agg_record_time,company_count,ebitdaUSD,marketCapUSD,totalRevenueUSD,fullTimeEmployees,grossMargins,operatingMargins,ebitdaMargins,profitMargins,earningsGrowth,revenueGrowth,forwardEps,trailingEps,forwardPE,trailingPE,pegRatio,trailingPegRatio,enterpriseToEbitda,enterpriseToRevenue,returnOnEquity,returnOnAssets,heldPercentInstitutions,heldPercentInsiders,debtToEquity,quickRatio,currentRatio,dividendYield,dividendRate,trailingAnnualDividendRate,fiveYearAvgDividendYield,trailingAnnualDividendYield,earningsQuarterlyGrowth,priceToBook,priceToSalesTrailing12Months
14,Banks—Regional,2022-09-13 16:00:52.389026+00:00,394,1860469302.942,4486860167047.128,43556188083364.805,5774161.0,0.465,0.424,0.238,0.313,0.019,0.061,3.335,2.81,8.78,10.691,1.12,0.697,23.494,3.497,0.11,0.011,0.482,0.096,90.9,0.832,1.172,0.032,0.92,0.89,3.04,0.031,0.034,1.119,3.1
15,Beverages—Brewers,2022-09-13 16:00:57.197913+00:00,18,141819685614.107,415260809918.525,903571665722.631,857626.0,0.4,0.112,0.161,0.075,0.236,0.157,3.37,2.07,18.312,19.146,1.775,1.725,9.736,1.918,0.128,0.048,0.195,0.58,52.28,0.698,0.937,0.023,1.52,1.2,2.22,0.016,0.239,1.923,1.291
16,Beverages—Non-Alcoholic,2022-09-13 16:00:59.978361+00:00,23,78084573600.671,756576443274.618,403298178500.338,689006.0,0.444,0.132,0.177,0.082,0.149,0.155,2.64,1.68,17.591,26.092,1.385,3.101,12.925,2.549,0.155,0.065,0.453,0.242,48.986,0.975,1.277,0.02,1.97,1.72,2.53,0.015,0.248,6.631,2.645
17,Beverages—Wineries & Distilleries,2022-09-13 16:00:57.442555+00:00,24,85570469541.871,746601187116.522,377371946266.808,163946.0,0.485,0.208,0.234,0.137,0.157,0.164,4.99,1.582,21.922,27.473,2.255,2.122,16.434,4.253,0.132,0.063,0.142,0.53,59.522,0.923,2.383,0.018,1.405,0.732,1.69,0.012,0.17,3.418,4.099
18,Biotechnology,2022-09-13 16:00:54.132680+00:00,430,85719224048.113,1267365803364.553,316379897431.207,283916.0,0.656,-3.034,-0.603,-0.616,0.095,0.232,-1.21,-1.305,-3.682,16.85,-0.03,1.133,-2.002,7.906,-0.47,-0.217,0.615,0.064,9.054,5.939,6.515,0.012,1.02,1.0,0.99,0.014,0.089,2.392,13.382
19,Broadcasting,2022-09-13 16:00:59.859717+00:00,21,10300310261.254,48688905166.197,48189436228.603,80555.0,0.391,0.145,0.178,0.098,0.235,0.087,2.24,1.14,6.942,10.777,0.615,1.399,8.089,1.995,0.124,0.041,0.331,0.281,93.192,1.506,1.747,0.029,0.45,0.415,2.85,0.025,0.247,1.374,0.562
20,Building Materials,2022-09-13 16:01:00.500550+00:00,36,93074757154.521,263304483898.807,401835601378.974,478940.0,0.361,0.128,0.172,0.094,-0.039,0.169,7.685,4.26,15.197,13.889,1.115,1.384,9.51,1.774,0.117,0.052,0.226,0.506,60.424,0.976,1.711,0.022,1.55,1.064,1.26,0.024,-0.041,1.632,1.122
21,Building Materials Wholesale,2022-09-13 16:01:03.174060+00:00,1,57100000.0,292397824.0,937800000.0,1100.0,0.222,0.056,0.061,0.052,23.727,0.248,0.53,1.764,20.189,6.066,,,6.972,0.424,0.72,0.116,0.482,0.147,117.615,0.789,2.052,,,,,,21.667,3.148,0.312
22,Building Products & Equipment,2022-09-13 16:00:59.495366+00:00,48,41472094294.843,353217113498.679,269108935383.026,819234.0,0.319,0.117,0.15,0.081,0.187,0.165,6.125,4.76,11.804,20.261,0.875,1.481,9.515,1.397,0.174,0.074,0.871,0.08,62.865,1.086,1.887,0.016,1.515,1.075,1.285,0.015,0.162,2.621,1.182
23,Business Equipment & Supplies,2022-09-13 16:00:58.673214+00:00,6,4472233663.55,38212385374.957,34948386855.803,137859.0,0.316,0.064,0.094,0.042,-0.004,0.168,2.61,1.725,13.272,19.48,1.82,1.327,12.079,0.998,0.12,0.036,0.88,0.034,80.046,0.821,1.562,0.041,1.28,1.25,2.51,0.033,-0.011,1.818,0.825
24,Capital Markets,2022-09-13 16:00:55.237818+00:00,66,2350354802.989,778023539369.468,1659690083400.521,390373.0,0.842,0.234,0.264,0.167,-0.053,0.031,3.47,1.63,9.884,12.593,0.82,1.589,6.587,1.783,0.146,0.023,0.449,0.09,72.597,1.228,1.429,0.025,0.98,0.7,2.4,0.019,-0.1,1.792,2.206
25,Chemicals,2022-09-13 16:00:58.967146+00:00,46,191980788042.358,433867870118.649,1176260812912.207,459878.0,0.259,0.137,0.183,0.102,0.073,0.247,5.2,6.545,8.675,10.647,0.515,1.395,6.476,1.152,0.173,0.058,0.262,0.334,51.179,1.069,1.918,0.031,4.175,2.8,2.57,0.032,0.174,1.57,0.806
26,Coking Coal,2022-09-13 16:01:03.083859+00:00,5,3785036639.079,6268642780.689,10133287075.269,35544.0,0.422,0.299,0.377,0.22,2.289,1.468,3.29,12.02,5.627,2.617,0.245,,1.462,0.67,0.432,0.215,0.78,0.113,29.54,1.171,1.722,0.026,0.38,0.233,0.87,0.014,2.347,1.258,0.666
27,Communication Equipment,2022-09-13 16:00:56.812627+00:00,60,38700368540.122,437712889874.289,250296483530.131,766536.0,0.408,0.032,0.095,0.012,0.065,0.061,0.87,0.36,12.927,27.545,1.1,1.79,12.633,1.876,-0.007,0.014,0.669,0.044,39.328,1.128,1.804,0.016,0.5,0.49,2.62,0.017,0.022,2.363,1.517
28,Computer Hardware,2022-09-13 16:00:59.705068+00:00,35,590927766992.927,269367213622.35,3999024061607.725,645005.0,0.364,0.039,0.066,0.057,-0.217,0.092,1.175,1.28,9.743,12.147,0.62,1.333,5.4,1.128,0.142,0.035,0.517,0.136,15.823,1.204,1.909,0.034,2.14,2.28,2.86,0.035,-0.194,1.769,1.662
29,Confectioners,2022-09-13 16:01:03.017242+00:00,7,10703738311.117,168696341906.828,56351764164.811,128190.0,0.343,0.137,0.164,0.108,0.097,0.158,8.88,22.93,25.4,26.78,3.065,2.841,17.522,3.53,0.141,0.054,0.306,0.352,71.502,0.692,1.791,0.019,6.0,4.802,1.625,0.015,0.094,3.187,2.868
30,Conglomerates,2022-09-13 16:00:58.235566+00:00,59,142128402204.342,655331654171.307,1101620857069.015,2231980.0,0.257,0.082,0.123,0.058,0.32,0.216,10.25,6.51,9.151,12.88,1.28,1.685,11.253,1.604,0.114,0.03,0.316,0.306,86.9,0.884,1.397,0.031,4.0,2.4,2.95,0.025,0.32,1.283,0.718
31,Consulting Services,2022-09-13 16:01:01.426774+00:00,19,11629525659.836,166605697571.196,52002054307.942,318953.0,0.395,0.147,0.192,0.09,0.021,0.114,3.485,1.58,18.625,26.645,2.69,1.491,16.192,2.981,0.196,0.065,0.869,0.027,103.169,1.144,1.144,0.017,0.56,0.56,1.55,0.013,0.014,5.06,2.62
32,Consumer Electronics,2022-09-13 16:00:58.853772+00:00,21,13544293094336.67,3002395051462.792,119915366396253.97,749792.0,0.294,0.051,0.103,0.068,0.023,0.024,3.925,2.28,11.716,17.975,1.005,1.591,6.665,0.835,0.08,0.026,0.258,0.193,22.427,1.002,1.776,0.024,35.0,40.0,2.13,0.035,0.012,1.392,1.045
33,Copper,2022-09-13 16:01:00.916314+00:00,12,29063338723.497,124089940925.75,74569156821.704,96858.0,0.468,0.334,0.439,0.191,-0.219,-0.015,1.295,2.735,10.71,10.842,-0.97,,4.435,2.125,0.149,0.07,0.374,0.257,37.928,1.081,2.189,0.024,0.48,0.403,2.12,0.014,-0.224,1.2,1.7
34,Credit Services,2022-09-13 16:00:54.396689+00:00,61,801136145447.493,1248661997137.083,2904618029526.199,608793.0,0.856,0.352,0.176,0.236,-0.018,0.104,5.795,4.76,7.38,9.668,0.475,1.154,8.715,4.309,0.162,0.033,0.585,0.079,231.252,3.465,4.604,0.026,1.41,1.24,1.79,0.028,-0.027,1.254,2.024
35,Department Stores,2022-09-13 16:00:56.641756+00:00,17,22101558312.843,74169051126.714,259711853984.569,838320.0,0.334,0.063,0.099,0.033,0.101,0.093,10.74,3.765,12.576,9.081,0.09,0.599,5.461,0.715,0.119,0.049,0.349,0.278,145.629,0.478,1.057,0.031,2.105,1.981,2.025,0.011,0.069,1.843,0.313
36,Diagnostics & Research,2022-09-13 16:00:53.212823+00:00,61,50103985789.879,855937786771.16,204610600486.244,809230.0,0.425,0.06,0.137,0.022,-0.049,0.067,0.58,0.186,13.238,29.36,0.32,2.097,6.752,3.518,-0.019,0.021,0.6,0.032,57.199,1.736,2.228,0.008,1.0,0.92,0.625,0.006,-0.051,2.904,3.161
37,Discount Stores,2022-09-13 16:00:58.157769+00:00,16,147802976744.294,907572824447.021,1842600007729.757,3976648.0,0.29,0.07,0.094,0.044,0.237,0.105,7.81,7.835,19.216,22.876,2.45,2.67,12.958,0.918,0.279,0.073,0.625,0.052,153.882,0.215,1.015,0.022,2.22,1.57,1.85,0.016,0.204,3.688,0.696
38,Drug Manufacturers—General,2022-09-13 16:00:55.841919+00:00,35,295654140417.977,2946497146386.399,814930400727.245,1229579.0,0.679,0.235,0.298,0.175,-0.053,0.066,7.46,6.55,12.685,20.276,1.92,1.464,12.605,4.134,0.18,0.071,0.426,0.009,49.34,1.087,1.484,0.029,3.33,3.115,2.58,0.028,-0.092,4.23,3.969
39,Drug Manufacturers—Specialty & Generic,2022-09-13 16:00:55.154845+00:00,128,1115389114458.565,503719255405.188,3977365722140.841,687781.0,0.554,0.094,0.157,0.044,0.04,0.103,1.075,0.15,8.496,22.218,0.36,1.499,7.989,2.499,-0.056,0.009,0.21,0.134,37.91,1.607,2.541,0.013,3.26,2.56,0.945,0.015,0.042,1.733,2.207
40,Education & Training Services,2022-09-13 16:00:59.449147+00:00,28,427069716.609,42318002473.976,38381175671.972,144466.0,0.52,0.056,0.131,-0.028,-0.155,0.155,0.76,-0.185,13.044,18.58,0.79,0.732,5.596,1.445,-0.022,0.01,0.692,0.035,39.841,1.215,1.413,0.02,2.4,1.335,1.09,0.025,-0.174,1.116,1.016
41,Electrical Equipment & Parts,2022-09-13 16:00:57.360802+00:00,58,22786461399.191,413345232044.856,182874875066.45,649809.0,0.294,0.084,0.114,0.081,0.293,0.21,2.37,1.71,11.02,20.917,0.795,1.529,7.692,2.226,0.109,0.031,0.457,0.189,17.967,1.333,2.702,0.013,1.2,0.904,1.14,0.012,0.233,2.708,2.462
42,Electronic Components,2022-09-13 16:00:59.137617+00:00,48,52636837730.912,437153428477.206,485464876544.919,2362287.0,0.28,0.084,0.133,0.073,0.206,0.154,3.08,2.212,11.767,16.554,0.93,1.256,8.089,1.623,0.121,0.046,0.49,0.09,44.474,1.348,1.964,0.016,2.32,1.02,1.36,0.016,0.228,2.194,1.613
43,Electronic Gaming & Multimedia,2022-09-13 16:00:52.932200+00:00,96,130771090850.311,378130739426.361,599202696991.91,227974.0,0.589,0.122,0.182,0.114,-0.042,0.052,5.665,1.86,12.679,19.222,0.87,1.159,8.268,2.103,0.104,0.054,0.155,0.328,8.999,2.787,3.051,0.017,10.0,5.0,1.5,0.018,-0.04,2.384,2.127
44,Electronics & Computer Distribution,2022-09-13 16:01:01.536648+00:00,9,7166675647.493,36358309133.612,152891048104.052,111823.0,0.15,0.039,0.045,0.028,0.494,0.177,6.3,5.7,7.597,10.082,0.6,0.889,8.69,0.372,0.136,0.064,0.936,0.037,64.512,1.035,1.871,0.037,1.18,1.05,2.16,0.025,0.531,1.155,0.284
45,Engineering & Construction,2022-09-13 16:00:54.711011+00:00,82,80265767869.228,413785429003.044,1169691166392.424,2627857.0,0.164,0.049,0.07,0.031,0.223,0.139,3.7,2.26,11.888,17.798,1.42,1.114,9.988,0.807,0.095,0.03,0.416,0.173,75.297,1.115,1.296,0.023,0.92,0.69,2.29,0.03,0.238,2.058,0.697
46,Entertainment,2022-09-13 16:00:56.904264+00:00,57,53504897437.806,558374446816.968,333616654541.558,504557.0,0.479,0.047,0.148,0.021,0.245,0.12,0.99,0.1,15.573,18.174,1.43,1.507,10.451,2.113,0.038,0.013,0.504,0.175,88.641,0.921,1.11,0.021,0.57,0.54,1.75,0.016,0.173,2.147,1.371
47,Farm & Heavy Construction Machinery,2022-09-13 16:00:56.113943+00:00,45,47923107649.987,457080398718.688,396298779017.598,1017089.0,0.224,0.076,0.101,0.055,0.024,0.176,3.11,1.395,9.071,15.865,0.53,1.21,10.383,0.95,0.1,0.034,0.504,0.17,64.1,0.903,1.742,0.02,0.93,0.805,1.475,0.019,-0.017,2.101,0.844
48,Farm Products,2022-09-13 16:00:53.359214+00:00,29,34329433513.862,216861064517.603,432953294744.118,694433.0,0.171,0.055,0.099,0.045,-0.111,0.151,1.9,1.34,10.898,16.837,0.66,2.504,11.544,1.204,0.113,0.049,0.293,0.36,37.534,0.765,1.987,0.023,0.88,1.207,2.405,0.025,-0.112,1.373,0.753
49,Financial Conglomerates,2022-09-13 16:01:00.958786+00:00,8,4304506892.186,72455203227.21,107710497981.021,174463.0,0.492,0.108,0.132,0.08,0.187,0.14,7.275,5.91,10.299,14.143,0.89,,19.126,3.034,0.065,-0.002,0.423,0.349,229.228,1.358,2.947,0.021,3.75,3.5,2.69,0.038,0.25,1.568,1.271
50,Financial Data & Stock Exchanges,2022-09-13 16:01:00.379216+00:00,25,31491047253.79,635115600662.221,68974617190.457,142336.0,0.869,0.439,0.474,0.329,-0.004,0.099,8.35,7.3,23.857,27.928,2.385,2.827,19.415,8.716,0.167,0.05,0.565,0.082,40.382,0.589,1.077,0.015,2.8,2.147,1.79,0.014,0.042,3.763,9.053
51,Food Distribution,2022-09-13 16:01:01.719632+00:00,18,13150804070.085,113380692600.649,346647292460.869,480080.0,0.165,0.028,0.041,0.015,0.348,0.223,2.85,0.825,13.721,22.026,1.38,0.95,12.416,0.612,0.093,0.032,0.686,0.055,120.915,0.632,1.335,0.028,0.755,0.71,2.5,0.024,0.273,2.255,0.437
52,Footwear & Accessories,2022-09-13 16:01:02.610247+00:00,18,13662458226.722,234545368958.498,100148828771.86,223794.0,0.469,0.095,0.109,0.082,0.378,0.291,4.09,4.145,15.509,21.056,1.345,1.493,14.212,1.738,0.189,0.064,0.55,0.171,48.145,1.07,2.337,0.012,0.9,0.72,1.405,0.022,0.315,3.89,1.425
53,"Furnishings, Fixtures & Appliances",2022-09-13 16:00:52.609709+00:00,48,20808040509.813,157187752244.599,193243677359.62,651056.0,0.335,0.064,0.088,0.046,0.158,0.151,3.2,2.84,8.174,13.802,0.8,0.575,9.1,0.953,0.14,0.043,0.425,0.193,58.751,0.697,1.514,0.026,1.32,0.915,2.08,0.029,0.128,1.948,0.759
